path=maps/de_ancient_night.nav crc=85410A37 size=364.71KB size_in_bytes=373461
path=maps/de_ancient_night/entities/unnamed_2_32941_1727.vmdl_c crc=DEA03447 size=4.03KB size_in_bytes=4128
path=maps/de_ancient_night/entities/unnamed_2_32941_1729.vmdl_c crc=9DFE0E04 size=4.33KB size_in_bytes=4432
path=maps/de_ancient_night/entities/unnamed_2_32941_1731.vmdl_c crc=88941194 size=4.56KB size_in_bytes=4672
path=maps/de_ancient_night/entities/unnamed_2_32941_1733.vmdl_c crc=62F09D3E size=4.06KB size_in_bytes=4160
path=maps/de_ancient_night/entities/unnamed_2_32941_1735.vmdl_c crc=31B29870 size=4.58KB size_in_bytes=4688
path=maps/de_ancient_night/entities/unnamed_2_32941_1737.vmdl_c crc=6F873AEF size=4.61KB size_in_bytes=4720
path=maps/de_ancient_night/entities/unnamed_2_32941_1739.vmdl_c crc=2B4ED7B9 size=4.63KB size_in_bytes=4736
path=maps/de_ancient_night/entities/unnamed_2_32941_1741.vmdl_c crc=27EC9F9D size=4.48KB size_in_bytes=4592
path=maps/de_ancient_night/entities/unnamed_2_32941_1743.vmdl_c crc=781C3136 size=4.59KB size_in_bytes=4704
path=maps/de_ancient_night/entities/unnamed_2_32941_1745.vmdl_c crc=7AFCE495 size=4.06KB size_in_bytes=4160
path=maps/de_ancient_night/entities/unnamed_2_32941_1747.vmdl_c crc=46239380 size=3.98KB size_in_bytes=4080
path=maps/de_ancient_night/entities/unnamed_2_32941_1749.vmdl_c crc=E8299443 size=4.88KB size_in_bytes=4992
path=maps/de_ancient_night/entities/unnamed_2_32941_1752.vmdl_c crc=1AC96337 size=4.48KB size_in_bytes=4592
path=maps/de_ancient_night/entities/unnamed_2_32941_2.vmdl_c crc=E05E59D5 size=3.93KB size_in_bytes=4028
path=maps/de_ancient_night/entities/unnamed_2_32941_83.vmdl_c crc=E357D332 size=4.73KB size_in_bytes=4844
path=maps/de_ancient_night/entities/unnamed_2_33005.vmdl_c crc=9BB216A1 size=4.01KB size_in_bytes=4108
path=maps/de_ancient_night/entities/unnamed_2_33007.vmdl_c crc=F29E32D6 size=3.98KB size_in_bytes=4076
path=maps/de_ancient_night/entities/unnamed_2_33011.vmdl_c crc=917403C5 size=4.00KB size_in_bytes=4092
path=maps/de_ancient_night/entities/unnamed_2_33013.vmdl_c crc=3E68CFDA size=4.78KB size_in_bytes=4892
path=maps/de_ancient_night/lightmaps/debug_chart_color.vtex_c crc=D4C1B8AB size=2.27MB size_in_bytes=2380307
path=maps/de_ancient_night/lightmaps/directional_irradiance.vtex_c crc=683371A0 size=8.00MB size_in_bytes=8389668
path=maps/de_ancient_night/lightmaps/direct_light_shadows.vtex_c crc=1F7DA8CA size=21.59MB size_in_bytes=22639435
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046876_octree.dat crc=E87C1951 size=30.80KB size_in_bytes=31541
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046877_octree.dat crc=E79C8036 size=52.42KB size_in_bytes=53674
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046878_octree.dat crc=0C11230C size=57.83KB size_in_bytes=59217
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046879_octree.dat crc=5F2D842B size=66.69KB size_in_bytes=68290
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046880_octree.dat crc=F848FB4D size=65.56KB size_in_bytes=67138
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046881_octree.dat crc=192FEB7D size=66.90KB size_in_bytes=68505
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046882_octree.dat crc=43165B3B size=66.06KB size_in_bytes=67641
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046883_octree.dat crc=81D63DC0 size=54.03KB size_in_bytes=55327
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046884_octree.dat crc=D587BEF4 size=62.19KB size_in_bytes=63681
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046885_octree.dat crc=E3852785 size=47.41KB size_in_bytes=48546
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046886_octree.dat crc=D5060A95 size=38.12KB size_in_bytes=39032
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046887_octree.dat crc=1FAF0E36 size=51.14KB size_in_bytes=52368
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046888_octree.dat crc=3BAD4EC2 size=30.30KB size_in_bytes=31031
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046889_octree.dat crc=278AC16F size=42.62KB size_in_bytes=43643
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046890_octree.dat crc=81368672 size=55.64KB size_in_bytes=56973
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046891_octree.dat crc=68F48576 size=66.55KB size_in_bytes=68145
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046892_octree.dat crc=1306C4B8 size=59.02KB size_in_bytes=60435
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046893_octree.dat crc=2AD42FBC size=56.13KB size_in_bytes=57481
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046894_octree.dat crc=6E51D77B size=64.72KB size_in_bytes=66274
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046895_octree.dat crc=21C73970 size=65.28KB size_in_bytes=66849
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046896_octree.dat crc=B78A8857 size=59.44KB size_in_bytes=60869
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046897_octree.dat crc=2851562F size=64.44KB size_in_bytes=65985
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046898_octree.dat crc=5A3D0E46 size=60.07KB size_in_bytes=61516
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046899_octree.dat crc=7ECF94C6 size=58.45KB size_in_bytes=59856
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046900_octree.dat crc=89C916CB size=55.08KB size_in_bytes=56402
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046901_octree.dat crc=B81B0A5A size=67.53KB size_in_bytes=69152
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046902_octree.dat crc=0B7CB458 size=66.20KB size_in_bytes=67786
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046903_octree.dat crc=8F8F9F56 size=63.74KB size_in_bytes=65265
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046904_octree.dat crc=B002E694 size=61.49KB size_in_bytes=62962
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046905_octree.dat crc=59D778AE size=66.97KB size_in_bytes=68578
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046906_octree.dat crc=77DE5808 size=618B size_in_bytes=618
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046907_octree.dat crc=77DE5808 size=618B size_in_bytes=618
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046908_octree.dat crc=77DE5808 size=618B size_in_bytes=618
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046909_octree.dat crc=77DE5808 size=618B size_in_bytes=618
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046910_octree.dat crc=EDED5925 size=61.62KB size_in_bytes=63101
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046911_octree.dat crc=D8295F64 size=60.07KB size_in_bytes=61514
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046912_octree.dat crc=7C1B64F6 size=12.22KB size_in_bytes=12510
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046913_octree.dat crc=F557A775 size=32.63KB size_in_bytes=33411
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046914_octree.dat crc=6696AFAB size=64.58KB size_in_bytes=66128
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046915_octree.dat crc=01B2A528 size=65.42KB size_in_bytes=66990
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046916_octree.dat crc=01D4E880 size=57.68KB size_in_bytes=59065
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046917_octree.dat crc=28940755 size=66.13KB size_in_bytes=67713
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046918_octree.dat crc=0AC55BA9 size=67.60KB size_in_bytes=69226
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046919_octree.dat crc=12FCA1C4 size=21.23KB size_in_bytes=21735
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046920_octree.dat crc=842AFB67 size=53.60KB size_in_bytes=54885
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046921_octree.dat crc=1EA6094F size=66.69KB size_in_bytes=68290
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046922_octree.dat crc=1895C46D size=51.36KB size_in_bytes=52592
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046923_octree.dat crc=57689CAC size=59.30KB size_in_bytes=60722
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046924_octree.dat crc=44C73434 size=58.88KB size_in_bytes=60289
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046925_octree.dat crc=76A93BC8 size=33.89KB size_in_bytes=34707
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046926_octree.dat crc=3E1EE46B size=65.56KB size_in_bytes=67138
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046927_octree.dat crc=E7F60547 size=67.46KB size_in_bytes=69081
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046928_octree.dat crc=7D35E0A2 size=26.36KB size_in_bytes=26997
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046929_octree.dat crc=9D792FD8 size=65.63KB size_in_bytes=67210
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046930_octree.dat crc=96DFF5B4 size=35.24KB size_in_bytes=36084
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046931_octree.dat crc=0EC8A52B size=35.65KB size_in_bytes=36509
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046932_octree.dat crc=6027284B size=41.57KB size_in_bytes=42572
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046933_octree.dat crc=615BD02D size=17.99KB size_in_bytes=18420
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046934_octree.dat crc=69684F00 size=58.38KB size_in_bytes=59785
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046935_octree.dat crc=A506A244 size=26.08KB size_in_bytes=26709
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046936_octree.dat crc=E3F9B047 size=45.51KB size_in_bytes=46600
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046937_octree.dat crc=6947B00E size=62.89KB size_in_bytes=64401
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046938_octree.dat crc=14BD7F58 size=64.72KB size_in_bytes=66273
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046939_octree.dat crc=2AD6079D size=57.68KB size_in_bytes=59067
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046940_octree.dat crc=0FBA9FAD size=67.39KB size_in_bytes=69008
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046941_octree.dat crc=1CFFB462 size=64.65KB size_in_bytes=66202
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046942_octree.dat crc=EBC739F7 size=64.86KB size_in_bytes=66418
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046943_octree.dat crc=39E9FCC3 size=46.91KB size_in_bytes=48038
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046944_octree.dat crc=F6C44014 size=48.74KB size_in_bytes=49910
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046945_octree.dat crc=E63BA457 size=30.09KB size_in_bytes=30815
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046946_octree.dat crc=EED615A7 size=13.83KB size_in_bytes=14167
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046947_octree.dat crc=64F876B4 size=65.28KB size_in_bytes=66849
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046948_octree.dat crc=331E98E2 size=44.59KB size_in_bytes=45658
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046949_octree.dat crc=BD2DD54B size=47.69KB size_in_bytes=48830
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046950_octree.dat crc=8E7750B9 size=65.42KB size_in_bytes=66994
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046951_octree.dat crc=59DB8BBD size=66.27KB size_in_bytes=67856
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046952_octree.dat crc=0B8649E0 size=61.06KB size_in_bytes=62521
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046953_octree.dat crc=2AE209EC size=63.24KB size_in_bytes=64758
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046954_octree.dat crc=74D34044 size=52.33KB size_in_bytes=53589
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046955_octree.dat crc=B1AECE9C size=51.63KB size_in_bytes=52873
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046956_octree.dat crc=BF52A098 size=19.40KB size_in_bytes=19861
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046957_octree.dat crc=C95B82E3 size=31.15KB size_in_bytes=31899
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_985046958_octree.dat crc=1B5846D1 size=54.94KB size_in_bytes=56254
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_atlas.vtex_c crc=6FFFBAA0 size=14.61MB size_in_bytes=15320988
path=maps/de_ancient_night/lightmaps/env_light_probe_volume_atlas_dlshd.vtex_c crc=DC60AAFC size=689.32KB size_in_bytes=705859
path=maps/de_ancient_night/lightmaps/irradiance.vtex_c crc=8B117E5A size=76.13MB size_in_bytes=79827814
path=maps/de_ancient_night/lightmaps/lightmap_query_data.kv3 crc=D59D60CD size=59.65MB size_in_bytes=62551922
path=maps/de_ancient_night/world.vrman_c crc=9F7DBB60 size=964B size_in_bytes=964
path=maps/de_ancient_night/world.vwrld_c crc=FB3DA2FD size=2.08KB size_in_bytes=2133
path=maps/de_ancient_night/worldnodes/n0.vrman_c crc=15F782F7 size=910B size_in_bytes=910
path=maps/de_ancient_night/worldnodes/n0.vwnod_c crc=260483F4 size=59.34KB size_in_bytes=60761
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_archaelogy_tools_01_0.vmdl_c crc=EF09E264 size=369.01KB size_in_bytes=377867
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_kasbah_tarp_04-dirty_0.vmdl_c crc=D89B86D3 size=30.35KB size_in_bytes=31076
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_scaffolding_plywood-plywoodpainted_01_wet_0.vmdl_c crc=33D36DD6 size=7.58KB size_in_bytes=7765
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_scaffolding_plywood-plywoodpainted_01_wet_1.vmdl_c crc=60793CCB size=52.86KB size_in_bytes=54133
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_scaffolding_tarp-dirty_01_wet_0.vmdl_c crc=8E875C86 size=73.59KB size_in_bytes=75356
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_sculpture_corner_face_rock-plasterblue-wet_0.vmdl_c crc=C5838D21 size=103.24KB size_in_bytes=105719
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_sculpture_corner_face_rock-plasterblue-wet_1.vmdl_c crc=D275BA62 size=353.66KB size_in_bytes=362151
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_sculpture_stelle_rock-dirt-wet_0.vmdl_c crc=198497AF size=530.20KB size_in_bytes=542924
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_blend_sculpture_stelle_rock-topmoss-wet-b_0.vmdl_c crc=EB3D0505 size=720.63KB size_in_bytes=737920
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_door_largewood_01_wet_0.vmdl_c crc=D220022D size=215.93KB size_in_bytes=221116
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_door_largewood_02_wet_0.vmdl_c crc=99DB963C size=538.75KB size_in_bytes=551676
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_lighting_lantern_01_0.vmdl_c crc=8579F124 size=287.28KB size_in_bytes=294171
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_lighting_lantern_01_lit_0.vmdl_c crc=DF4573A6 size=705.81KB size_in_bytes=722751
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_roof_trim_01_grey_wet_0.vmdl_c crc=D0D36027 size=1.16MB size_in_bytes=1219804
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_roof_trim_01_white_wet_0.vmdl_c crc=AEDE4096 size=474.84KB size_in_bytes=486240
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_scaffolding_01_wet_0.vmdl_c crc=CD3AF971 size=196.78KB size_in_bytes=201500
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_scaffolding_01_wet_1.vmdl_c crc=48828AB0 size=1.62MB size_in_bytes=1699916
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_scaffolding_01_wet_2.vmdl_c crc=99B29787 size=394.46KB size_in_bytes=403932
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_scaffolding_plywood_01_wet_0.vmdl_c crc=0AF212AE size=6.63KB size_in_bytes=6788
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_sculpture_floor_relief_02b_wet_0.vmdl_c crc=AA430AD4 size=102.02KB size_in_bytes=104472
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_sculpture_floor_relief_02_wet_0.vmdl_c crc=BA325693 size=144.24KB size_in_bytes=147700
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_signs_01_wet_0.vmdl_c crc=33B80999 size=1006.63KB size_in_bytes=1030788
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_signs_01_wet_1.vmdl_c crc=288BD289 size=104.96KB size_in_bytes=107476
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_skybox_bldg_a_0.vmdl_c crc=57F1C678 size=50.30KB size_in_bytes=51508
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_skybox_bldg_b_0.vmdl_c crc=637A53F2 size=33.21KB size_in_bytes=34004
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_skybox_bldg_c_0.vmdl_c crc=9A846A7A size=51.36KB size_in_bytes=52596
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_skybox_tree_cards_01_color_0.vmdl_c crc=37FB9040 size=13.93KB size_in_bytes=14260
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_skybox_underbrush_cards_01_0.vmdl_c crc=3E7D81E9 size=39.86KB size_in_bytes=40820
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_wood_ceiling_edges_01_wet_0.vmdl_c crc=61A31770 size=1.13MB size_in_bytes=1180032
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_ancient_wood_formwork_01_wet_0.vmdl_c crc=310B2ED8 size=935.81KB size_in_bytes=958268
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_aztec_lighting_jobsite_01_0.vmdl_c crc=EAC063A5 size=1.80MB size_in_bytes=1891966
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_aztec_lighting_jobsite_01_base_0.vmdl_c crc=590DEE58 size=8.19KB size_in_bytes=8390
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_aztec_lighting_jobsite_01_reflectors_lit_0.vmdl_c crc=CEBC3B8F size=355.00KB size_in_bytes=363516
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_aztec_pottery_01_0.vmdl_c crc=C2343517 size=53.33KB size_in_bytes=54614
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_aztec_scaffolding_pipejack_01_color_0.vmdl_c crc=9AFC5595 size=186.62KB size_in_bytes=191098
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_black_simple_0.vmdl_c crc=ECFF24F5 size=162.58KB size_in_bytes=166482
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_dust_wood_pallet_0.vmdl_c crc=A57E3742 size=18.24KB size_in_bytes=18678
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_leaves_01_0.vmdl_c crc=DAD52160 size=3.71MB size_in_bytes=3885533
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_leaves_01_1.vmdl_c crc=F6BB438F size=660.65KB size_in_bytes=676509
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_trunk_01_0.vmdl_c crc=B6DA687E size=10.17MB size_in_bytes=10663965
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_01-moss-topmoss-wet-b_0.vmdl_c crc=BF75BB05 size=89.11KB size_in_bytes=91252
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_02-moss-topmoss-wet-b_0.vmdl_c crc=C0AA9D05 size=1.27MB size_in_bytes=1336804
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_02-moss-topmoss-wet-b_1.vmdl_c crc=ECF4AC45 size=547.32KB size_in_bytes=560452
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_03-moss-topmoss-wet-b_0.vmdl_c crc=263CFFFA size=285.24KB size_in_bytes=292084
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_03-moss-topmoss-wet-b_1.vmdl_c crc=4DDAC51A size=760.57KB size_in_bytes=778820
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundcarvings01-grounddirt01-wet_0.vmdl_c crc=1A3E2E49 size=24.00KB size_in_bytes=24579
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundcarvings01-grounddirt04-wet_0.vmdl_c crc=417C73D1 size=8.14KB size_in_bytes=8339
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundcarvings01-moss02-wet-b_0.vmdl_c crc=46DACF0F size=9.97KB size_in_bytes=10209
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud01-groundrock01-wet_0.vmdl_c crc=05886558 size=53.75KB size_in_bytes=55035
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud03-grounddirt03-wet_0.vmdl_c crc=6F13DBD5 size=26.68KB size_in_bytes=27323
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud03-groundmoss02-wet-b_0.vmdl_c crc=855093DD size=7.84KB size_in_bytes=8030
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud03-groundmoss02-wet-b_1.vmdl_c crc=CAEF353B size=235.14KB size_in_bytes=240782
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-grounddirt01-moss-02-wet_0.vmdl_c crc=85F30501 size=23.27KB size_in_bytes=23831
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-grounddirt02-wet_0.vmdl_c crc=663BCF7C size=6.76KB size_in_bytes=6927
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-grounddirt02-wet_1.vmdl_c crc=061FE32E size=17.30KB size_in_bytes=17711
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-groundmoss02-wet-b_0.vmdl_c crc=7F41C311 size=5.72KB size_in_bytes=5855
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-groundmoss02-wet-b_1.vmdl_c crc=E200F452 size=16.75KB size_in_bytes=17151
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver02-grounddirt04-wet_0.vmdl_c crc=D94AE317 size=66.08KB size_in_bytes=67663
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock01-grounddirt01-moss-02-wet_0.vmdl_c crc=71AD3298 size=95.46KB size_in_bytes=97751
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock01-groundmoss02-wet-b_0.vmdl_c crc=E5C250F9 size=11.05KB size_in_bytes=11311
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock02-groundmoss02-wet-b_0.vmdl_c crc=1C860055 size=11.48KB size_in_bytes=11759
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock02-groundmoss02-wet-b_1.vmdl_c crc=6B14586A size=60.81KB size_in_bytes=62271
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock04-grounddirt03-wet_0.vmdl_c crc=3B64D0DD size=8.25KB size_in_bytes=8447
path=maps/de_ancient_night/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock04-groundmoss02-wet-b_0.vmdl_c crc=7E409976 size=192.30KB size_in_bytes=196911
