path=addoninfo.txt crc=BC0663F5 size=139B size_in_bytes=139
path=maps/ar_pool_day/entities/17949_19729_toilet_door_17949_19729_11.vmdl_c crc=28AAE8DB size=3.84KB size_in_bytes=3934
path=maps/ar_pool_day/entities/17949_19729_toilet_door_dynamic_geometry_17949_19729_5.vmdl_c crc=78ED00DD size=244.27KB size_in_bytes=250131
path=maps/ar_pool_day/entities/17949_19729_toilet_door_latch_17949_19729_19.vmdl_c crc=F4BC1198 size=29.76KB size_in_bytes=30471
path=maps/ar_pool_day/entities/17949_19730_toilet_door_17949_19730_11.vmdl_c crc=4145B3C6 size=3.84KB size_in_bytes=3934
path=maps/ar_pool_day/entities/17949_19730_toilet_door_dynamic_geometry_17949_19730_5.vmdl_c crc=B3DBBC9B size=244.19KB size_in_bytes=250051
path=maps/ar_pool_day/entities/17949_19730_toilet_door_latch_17949_19730_19.vmdl_c crc=CB8692EB size=29.77KB size_in_bytes=30487
path=maps/ar_pool_day/entities/17949_19731_toilet_door_17949_19731_11.vmdl_c crc=1868284F size=3.84KB size_in_bytes=3934
path=maps/ar_pool_day/entities/17949_19731_toilet_door_dynamic_geometry_17949_19731_5.vmdl_c crc=F0A82A78 size=244.19KB size_in_bytes=250051
path=maps/ar_pool_day/entities/17949_19731_toilet_door_latch_17949_19731_19.vmdl_c crc=DBF449C3 size=29.77KB size_in_bytes=30487
path=maps/ar_pool_day/entities/17949_19894_shower_button_17949_19894_7.vmdl_c crc=767824E5 size=3.64KB size_in_bytes=3727
path=maps/ar_pool_day/entities/17949_19894_shower_button_movelinear_17949_19894_10.vmdl_c crc=440A870B size=3.54KB size_in_bytes=3627
path=maps/ar_pool_day/entities/17949_19902_shower_button_17949_19902_7.vmdl_c crc=89B8B169 size=3.62KB size_in_bytes=3711
path=maps/ar_pool_day/entities/17949_19902_shower_button_movelinear_17949_19902_10.vmdl_c crc=F3DB425D size=3.53KB size_in_bytes=3611
path=maps/ar_pool_day/entities/17949_19903_shower_button_17949_19903_7.vmdl_c crc=BD8C970A size=3.62KB size_in_bytes=3711
path=maps/ar_pool_day/entities/17949_19903_shower_button_movelinear_17949_19903_10.vmdl_c crc=C16024E2 size=3.53KB size_in_bytes=3611
path=maps/ar_pool_day/entities/17949_19904_shower_button_17949_19904_7.vmdl_c crc=87266B2F size=3.62KB size_in_bytes=3711
path=maps/ar_pool_day/entities/17949_19904_shower_button_movelinear_17949_19904_10.vmdl_c crc=5C4015DF size=3.53KB size_in_bytes=3611
path=maps/ar_pool_day/entities/17949_19905_shower_button_17949_19905_7.vmdl_c crc=EFAE3CC3 size=3.62KB size_in_bytes=3711
path=maps/ar_pool_day/entities/17949_19905_shower_button_movelinear_17949_19905_10.vmdl_c crc=6EFB7360 size=3.53KB size_in_bytes=3611
path=maps/ar_pool_day/entities/17949_19906_shower_button_17949_19906_7.vmdl_c crc=742D4150 size=3.62KB size_in_bytes=3711
path=maps/ar_pool_day/entities/17949_19906_shower_button_movelinear_17949_19906_10.vmdl_c crc=3936D8A1 size=3.53KB size_in_bytes=3611
path=maps/ar_pool_day/entities/17949_20118_clock_cs2_clock_hands_rotator_17949_20118_5.vmdl_c crc=CBC68196 size=3.54KB size_in_bytes=3627
path=maps/ar_pool_day/entities/17949_20118_clock_cs2_glass_door_17949_20118_16.vmdl_c crc=AEF2A88B size=85.25KB size_in_bytes=87295
path=maps/ar_pool_day/entities/17949_20118_clock_cs2_momentary_rot_button_17949_20118_9.vmdl_c crc=A93666D9 size=6.42KB size_in_bytes=6576
path=maps/ar_pool_day/entities/17949_20118_clock_cs2_motor_high_speed_17949_20118_7.vmdl_c crc=89F480E4 size=3.54KB size_in_bytes=3628
path=maps/ar_pool_day/entities/17949_20118_clock_cs2_trigger_17949_20118_14.vmdl_c crc=DD8CBDDF size=3.47KB size_in_bytes=3556
path=maps/ar_pool_day/entities/17949_20119_clock_cs16_clock_hands_rotator_17949_20119_14.vmdl_c crc=3DAC558A size=11.69KB size_in_bytes=11973
path=maps/ar_pool_day/entities/17949_20119_clock_cs16_glass_door_17949_20119_5.vmdl_c crc=EAF96290 size=8.03KB size_in_bytes=8218
path=maps/ar_pool_day/entities/17949_20119_clock_cs16_momentary_rot_button_17949_20119_12.vmdl_c crc=E5CFD5E7 size=6.42KB size_in_bytes=6578
path=maps/ar_pool_day/entities/17949_20119_clock_cs16_motor_high_speed_17949_20119_2.vmdl_c crc=7CECB22D size=3.54KB size_in_bytes=3629
path=maps/ar_pool_day/entities/17949_20119_clock_cs16_trigger_17949_20119_7.vmdl_c crc=0429348C size=3.47KB size_in_bytes=3556
path=maps/ar_pool_day/entities/17949_teleport_to_new_17949_143.vmdl_c crc=DF057A4B size=3.48KB size_in_bytes=3565
path=maps/ar_pool_day/entities/17949_teleport_to_old_17949_140.vmdl_c crc=125E9B89 size=3.48KB size_in_bytes=3565
path=maps/ar_pool_day/entities/17949_trigger_kill_areas_in_cs2_not_in_cs16_17949_20043.vmdl_c crc=5C8357FC size=3.50KB size_in_bytes=3586
path=maps/ar_pool_day/entities/17949_trigger_kill_areas_in_cs2_not_in_cs16_17949_20046.vmdl_c crc=CCC66655 size=3.52KB size_in_bytes=3602
path=maps/ar_pool_day/entities/17949_trigger_kill_areas_in_cs2_not_in_cs16_17949_20049.vmdl_c crc=DEB89EBA size=3.52KB size_in_bytes=3602
path=maps/ar_pool_day/entities/17949_trigger_kill_areas_in_cs2_not_in_cs16_17949_20051.vmdl_c crc=02716A7F size=3.52KB size_in_bytes=3602
path=maps/ar_pool_day/entities/17949_trigger_push_before_tp_to_cs16_17949_19446.vmdl_c crc=D5BB0C82 size=3.98KB size_in_bytes=4078
path=maps/ar_pool_day/entities/17949_trigger_push_before_tp_to_cs2_17949_19428.vmdl_c crc=800B6B68 size=3.48KB size_in_bytes=3565
path=maps/ar_pool_day/entities/17949_trigger_push_before_tp_to_cs2_17949_19430.vmdl_c crc=4CFF2967 size=3.48KB size_in_bytes=3565
path=maps/ar_pool_day/entities/17949_trigger_push_before_tp_to_cs2_17949_19433.vmdl_c crc=7619AB08 size=3.92KB size_in_bytes=4013
path=maps/ar_pool_day/entities/17949_trigger_push_before_tp_to_cs2_17949_19437.vmdl_c crc=2A6BC7A2 size=4.15KB size_in_bytes=4253
path=maps/ar_pool_day/entities/17949_trigger_push_before_tp_to_cs2_17949_19442.vmdl_c crc=F259206D size=3.50KB size_in_bytes=3581
path=maps/ar_pool_day/entities/17949_vent_tp_1_a_17949_8386.vmdl_c crc=824E1EB6 size=3.56KB size_in_bytes=3642
path=maps/ar_pool_day/entities/17949_vent_tp_1_b_17949_8388.vmdl_c crc=B5EC46AD size=3.54KB size_in_bytes=3626
path=maps/ar_pool_day/entities/17949_vent_tp_2_a_17949_8398.vmdl_c crc=A55D93D0 size=3.54KB size_in_bytes=3626
path=maps/ar_pool_day/entities/17949_vent_tp_2_b_17949_8400.vmdl_c crc=CD40A8BD size=3.54KB size_in_bytes=3626
path=maps/ar_pool_day/entities/default_ents.vents_c crc=3D8239EE size=46.75KB size_in_bytes=47871
path=maps/ar_pool_day/entities/unnamed_17949_102.vmdl_c crc=471107F1 size=3.52KB size_in_bytes=3601
path=maps/ar_pool_day/entities/unnamed_17949_17949_65.vmdl_c crc=8193A984 size=3.44KB size_in_bytes=3522
path=maps/ar_pool_day/entities/unnamed_17949_17949_67.vmdl_c crc=142B7C8A size=3.46KB size_in_bytes=3538
path=maps/ar_pool_day/entities/unnamed_17949_17949_69.vmdl_c crc=B1EA4C20 size=4.58KB size_in_bytes=4690
path=maps/ar_pool_day/entities/unnamed_17949_17949_71.vmdl_c crc=4B92F246 size=4.56KB size_in_bytes=4674
path=maps/ar_pool_day/entities/unnamed_17949_17949_73.vmdl_c crc=83D3A483 size=3.50KB size_in_bytes=3586
path=maps/ar_pool_day/entities/unnamed_17949_17949_75.vmdl_c crc=4CD8B0F9 size=4.56KB size_in_bytes=4674
path=maps/ar_pool_day/entities/unnamed_17949_17949_77.vmdl_c crc=32677E47 size=4.56KB size_in_bytes=4674
path=maps/ar_pool_day/entities/unnamed_17949_18404_183.vmdl_c crc=7C472A24 size=3.52KB size_in_bytes=3607
path=maps/ar_pool_day/entities/unnamed_17949_18404_280.vmdl_c crc=4EDFAB04 size=3.52KB size_in_bytes=3607
path=maps/ar_pool_day/entities/unnamed_17949_18930.vmdl_c crc=2A5C368E size=4.13KB size_in_bytes=4227
path=maps/ar_pool_day/entities/unnamed_17949_18932.vmdl_c crc=DD417CF7 size=4.14KB size_in_bytes=4243
path=maps/ar_pool_day/entities/unnamed_17949_18945.vmdl_c crc=916B844B size=5.87KB size_in_bytes=6006
path=maps/ar_pool_day/entities/unnamed_17949_18947.vmdl_c crc=B79FC74D size=5.97KB size_in_bytes=6118
path=maps/ar_pool_day/entities/unnamed_17949_18990.vmdl_c crc=7E5498C6 size=3.44KB size_in_bytes=3523
path=maps/ar_pool_day/entities/unnamed_17949_18992.vmdl_c crc=7B93790F size=3.46KB size_in_bytes=3539
path=maps/ar_pool_day/entities/unnamed_17949_18994.vmdl_c crc=37C14291 size=4.58KB size_in_bytes=4691
path=maps/ar_pool_day/entities/unnamed_17949_18996.vmdl_c crc=1D6E67AD size=4.57KB size_in_bytes=4675
path=maps/ar_pool_day/entities/unnamed_17949_18998.vmdl_c crc=C83BC71B size=3.50KB size_in_bytes=3587
path=maps/ar_pool_day/entities/unnamed_17949_19000.vmdl_c crc=50F94CC1 size=4.57KB size_in_bytes=4675
path=maps/ar_pool_day/entities/unnamed_17949_19002.vmdl_c crc=5E8554E6 size=4.57KB size_in_bytes=4675
path=maps/ar_pool_day/entities/unnamed_17949_19388.vmdl_c crc=63A2BCE0 size=3.49KB size_in_bytes=3571
path=maps/ar_pool_day/entities/unnamed_17949_19455.vmdl_c crc=695B99A2 size=3.47KB size_in_bytes=3555
path=maps/ar_pool_day/entities/unnamed_17949_19459.vmdl_c crc=90A0CE49 size=3.47KB size_in_bytes=3555
path=maps/ar_pool_day/entities/unnamed_17949_19719_17.vmdl_c crc=7CF38430 size=15.73KB size_in_bytes=16110
path=maps/ar_pool_day/entities/unnamed_17949_19719_23.vmdl_c crc=BB0BE3AA size=5.38KB size_in_bytes=5513
path=maps/ar_pool_day/entities/unnamed_17949_19722_17.vmdl_c crc=093E1E58 size=15.73KB size_in_bytes=16110
path=maps/ar_pool_day/entities/unnamed_17949_19722_23.vmdl_c crc=CEC679C2 size=5.38KB size_in_bytes=5513
path=maps/ar_pool_day/entities/unnamed_17949_19723_17.vmdl_c crc=D51EBEE4 size=15.73KB size_in_bytes=16110
path=maps/ar_pool_day/entities/unnamed_17949_19723_23.vmdl_c crc=12E6D97E size=5.38KB size_in_bytes=5513
path=maps/ar_pool_day/entities/unnamed_17949_19729_17.vmdl_c crc=E19EE378 size=15.73KB size_in_bytes=16110
path=maps/ar_pool_day/entities/unnamed_17949_19729_23.vmdl_c crc=EDD3A5DC size=5.38KB size_in_bytes=5513
path=maps/ar_pool_day/entities/unnamed_17949_19730_17.vmdl_c crc=A8058666 size=15.73KB size_in_bytes=16110
path=maps/ar_pool_day/entities/unnamed_17949_19730_23.vmdl_c crc=A448C0C2 size=5.38KB size_in_bytes=5513
path=maps/ar_pool_day/entities/unnamed_17949_19731_17.vmdl_c crc=742526DA size=15.73KB size_in_bytes=16110
path=maps/ar_pool_day/entities/unnamed_17949_19731_23.vmdl_c crc=7868607E size=5.38KB size_in_bytes=5513
path=maps/ar_pool_day/entities/unnamed_17949_19798.vmdl_c crc=9692764E size=3.47KB size_in_bytes=3555
path=maps/ar_pool_day/entities/unnamed_17949_19833.vmdl_c crc=672A0A40 size=3.47KB size_in_bytes=3555
path=maps/ar_pool_day/entities/unnamed_17949_19851.vmdl_c crc=F0C0B3E6 size=27.69KB size_in_bytes=28351
path=maps/ar_pool_day/entities/unnamed_17949_19852.vmdl_c crc=92961CCC size=27.72KB size_in_bytes=28383
path=maps/ar_pool_day/entities/unnamed_17949_19853.vmdl_c crc=866C5370 size=27.62KB size_in_bytes=28287
path=maps/ar_pool_day/entities/unnamed_17949_19875.vmdl_c crc=F6211D44 size=8.73KB size_in_bytes=8936
path=maps/ar_pool_day/entities/unnamed_17949_19876.vmdl_c crc=79F454FD size=8.68KB size_in_bytes=8888
path=maps/ar_pool_day/entities/unnamed_17949_19877.vmdl_c crc=8105A7FB size=8.68KB size_in_bytes=8888
path=maps/ar_pool_day/entities/unnamed_17949_19878.vmdl_c crc=2F18C8FC size=8.68KB size_in_bytes=8888
path=maps/ar_pool_day/entities/unnamed_17949_19879.vmdl_c crc=28F5F2CD size=8.66KB size_in_bytes=8872
path=maps/ar_pool_day/entities/unnamed_17949_19880.vmdl_c crc=21C75D31 size=8.68KB size_in_bytes=8888
path=maps/ar_pool_day/entities/unnamed_17949_19882.vmdl_c crc=44705C41 size=3.49KB size_in_bytes=3571
path=maps/ar_pool_day/entities/unnamed_17949_19884.vmdl_c crc=DCCDDF0B size=3.47KB size_in_bytes=3555
path=maps/ar_pool_day/entities/unnamed_17949_19886.vmdl_c crc=E018F87C size=3.47KB size_in_bytes=3555
path=maps/ar_pool_day/entities/unnamed_17949_19896_2.vmdl_c crc=15FCDD18 size=3.55KB size_in_bytes=3637
path=maps/ar_pool_day/entities/unnamed_17949_19907_2.vmdl_c crc=14978639 size=3.55KB size_in_bytes=3637
path=maps/ar_pool_day/entities/unnamed_17949_19908_2.vmdl_c crc=D55716E0 size=3.55KB size_in_bytes=3637
path=maps/ar_pool_day/entities/unnamed_17949_19909_2.vmdl_c crc=1B449611 size=3.55KB size_in_bytes=3637
path=maps/ar_pool_day/entities/unnamed_17949_19910_2.vmdl_c crc=D90ADF27 size=3.55KB size_in_bytes=3637
path=maps/ar_pool_day/entities/unnamed_17949_19911_2.vmdl_c crc=17195FD6 size=3.55KB size_in_bytes=3637
path=maps/ar_pool_day/entities/unnamed_17949_20054.vmdl_c crc=C7CEC485 size=3.50KB size_in_bytes=3587
path=maps/ar_pool_day/entities/unnamed_17949_20110.vmdl_c crc=B399F7FA size=3.53KB size_in_bytes=3619
path=maps/ar_pool_day/entities/unnamed_17949_20111.vmdl_c crc=877A0017 size=3.57KB size_in_bytes=3651
path=maps/ar_pool_day/entities/unnamed_17949_2091_2.vmdl_c crc=F496116E size=4.10KB size_in_bytes=4196
path=maps/ar_pool_day/entities/unnamed_17949_222.vmdl_c crc=C2078A5A size=3.45KB size_in_bytes=3537
path=maps/ar_pool_day/entities/unnamed_17949_684.vmdl_c crc=13DAB97E size=3.47KB size_in_bytes=3553
path=maps/ar_pool_day/entities/unnamed_17949_686.vmdl_c crc=0CE78EE4 size=3.45KB size_in_bytes=3537
path=maps/ar_pool_day/entities/unnamed_17949_7133.vmdl_c crc=6F790DF8 size=4.89KB size_in_bytes=5010
path=maps/ar_pool_day/entities/unnamed_17949_8314.vmdl_c crc=9EC97443 size=4.85KB size_in_bytes=4962
path=maps/ar_pool_day/entities/unnamed_17949_8329.vmdl_c crc=EEF31CDB size=4.83KB size_in_bytes=4946
path=maps/ar_pool_day/entities/unnamed_17949_8331.vmdl_c crc=323AE81E size=4.83KB size_in_bytes=4946
path=maps/ar_pool_day/entities/unnamed_17949_857.vmdl_c crc=788AC3C4 size=19.81KB size_in_bytes=20285
path=maps/ar_pool_day/entities/unnamed_17949_867.vmdl_c crc=9A445B6B size=20.92KB size_in_bytes=21421
path=maps/ar_pool_day/lightmaps/debug_chart_color.vtex_c crc=9FC81CCC size=570.19KB size_in_bytes=583878
path=maps/ar_pool_day/lightmaps/directional_irradiance.vtex_c crc=C42C76FB size=5.89MB size_in_bytes=6178855
path=maps/ar_pool_day/lightmaps/direct_light_shadows.vtex_c crc=AD72D0D7 size=692.89KB size_in_bytes=709516
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926781_octree.dat crc=97084552 size=46.93KB size_in_bytes=48052
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926782_octree.dat crc=133CB8D0 size=39.95KB size_in_bytes=40913
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926783_octree.dat crc=F211BB17 size=38.54KB size_in_bytes=39469
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926784_octree.dat crc=84D900A6 size=26.57KB size_in_bytes=27212
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926785_octree.dat crc=E3AA32B7 size=55.58KB size_in_bytes=56911
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926786_octree.dat crc=7BA2C3E2 size=60.22KB size_in_bytes=61666
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926787_octree.dat crc=863CA415 size=43.26KB size_in_bytes=44294
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926788_octree.dat crc=47959AF9 size=45.86KB size_in_bytes=46960
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926789_octree.dat crc=7A1BFCA6 size=44.81KB size_in_bytes=45885
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926790_octree.dat crc=368ABAF3 size=46.85KB size_in_bytes=47976
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926791_octree.dat crc=023136D9 size=34.67KB size_in_bytes=35497
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926792_octree.dat crc=7ED6B500 size=37.49KB size_in_bytes=38390
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926793_octree.dat crc=A5AB77D4 size=43.33KB size_in_bytes=44372
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926794_octree.dat crc=6AF6743F size=21.65KB size_in_bytes=22166
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926795_octree.dat crc=F83B3A47 size=33.69KB size_in_bytes=34494
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926796_octree.dat crc=75D1D971 size=27.77KB size_in_bytes=28437
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926797_octree.dat crc=01550C80 size=49.66KB size_in_bytes=50850
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926798_octree.dat crc=E67646C9 size=43.97KB size_in_bytes=45030
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926799_octree.dat crc=3122443E size=56.77KB size_in_bytes=58134
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926800_octree.dat crc=5094F841 size=38.40KB size_in_bytes=39319
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926801_octree.dat crc=E39E4EAC size=38.75KB size_in_bytes=39680
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926802_octree.dat crc=04FBB297 size=32.63KB size_in_bytes=33414
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926803_octree.dat crc=FDC17619 size=38.40KB size_in_bytes=39319
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926804_octree.dat crc=25E2B995 size=42.69KB size_in_bytes=43718
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926805_octree.dat crc=EE953C4E size=38.75KB size_in_bytes=39680
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926806_octree.dat crc=89634C8B size=35.38KB size_in_bytes=36225
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926807_octree.dat crc=E94FA92D size=15.31KB size_in_bytes=15681
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926808_octree.dat crc=2443713A size=18.13KB size_in_bytes=18565
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926809_octree.dat crc=F9063A98 size=14.47KB size_in_bytes=14816
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926810_octree.dat crc=CEBED976 size=17.50KB size_in_bytes=17918
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926811_octree.dat crc=050E7F4D size=19.82KB size_in_bytes=20295
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926812_octree.dat crc=7C2F2D3D size=25.87KB size_in_bytes=26492
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926813_octree.dat crc=1618A4FB size=17.99KB size_in_bytes=18421
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926814_octree.dat crc=E729457F size=25.80KB size_in_bytes=26423
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926815_octree.dat crc=69112B37 size=49.80KB size_in_bytes=50994
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926816_octree.dat crc=6DD34F1B size=62.54KB size_in_bytes=64042
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926817_octree.dat crc=0104B197 size=3.98KB size_in_bytes=4077
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926818_octree.dat crc=78A59101 size=5.95KB size_in_bytes=6096
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926819_octree.dat crc=AAC8F4F2 size=3.98KB size_in_bytes=4077
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926820_octree.dat crc=8A0F8266 size=5.88KB size_in_bytes=6024
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926821_octree.dat crc=A24A1C43 size=19.82KB size_in_bytes=20295
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926822_octree.dat crc=483E14C9 size=3.42KB size_in_bytes=3501
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926823_octree.dat crc=75B77A4E size=3.42KB size_in_bytes=3501
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_96926824_octree.dat crc=AC632F72 size=65.49KB size_in_bytes=67066
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_atlas.vtex_c crc=89A8F187 size=4.60MB size_in_bytes=4822516
path=maps/ar_pool_day/lightmaps/env_light_probe_volume_atlas_dlshd.vtex_c crc=8F2F2FB0 size=132.98KB size_in_bytes=136168
path=maps/ar_pool_day/lightmaps/irradiance.vtex_c crc=6AFF6793 size=14.67MB size_in_bytes=15385514
path=maps/ar_pool_day/lightmaps/lightmap_query_data.kv3 crc=4DA63F18 size=2.94MB size_in_bytes=3086482
path=maps/ar_pool_day/world.vrman_c crc=399E70D9 size=869B size_in_bytes=869
path=maps/ar_pool_day/world.vwrld_c crc=756A4647 size=1.70KB size_in_bytes=1737
path=maps/ar_pool_day/worldnodes/node000.vrman_c crc=6D67BF46 size=862B size_in_bytes=862
path=maps/ar_pool_day/worldnodes/node000.vwnod_c crc=F26A2799 size=74.06KB size_in_bytes=75836
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_mesh_blocklight0_shadow.vmdl_c crc=A4B168BF size=192.86KB size_in_bytes=197487
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_mesh_overlay0.vmdl_c crc=8D2A72DB size=8.22KB size_in_bytes=8421
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_mesh_overlay166.vmdl_c crc=D53ABB9A size=7.29KB size_in_bytes=7463
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge0.vmdl_c crc=F128047B size=3.67KB size_in_bytes=3761
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge1.vmdl_c crc=938FB548 size=4.55KB size_in_bytes=4657
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge10.vmdl_c crc=845B8564 size=3.77KB size_in_bytes=3858
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge100.vmdl_c crc=92D13D24 size=3.67KB size_in_bytes=3763
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge101.vmdl_c crc=FDDB0F02 size=4.66KB size_in_bytes=4771
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge102.vmdl_c crc=43FAD182 size=3.74KB size_in_bytes=3827
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge103.vmdl_c crc=B173C967 size=3.91KB size_in_bytes=4003
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge104.vmdl_c crc=2FA6FE72 size=3.66KB size_in_bytes=3747
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge105.vmdl_c crc=EF53962F size=9.89KB size_in_bytes=10131
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge106.vmdl_c crc=0BE07F0E size=3.89KB size_in_bytes=3987
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge107.vmdl_c crc=FCB9D687 size=19.91KB size_in_bytes=20387
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge108.vmdl_c crc=5213D34C size=3.66KB size_in_bytes=3747
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge109.vmdl_c crc=7EF11758 size=3.72KB size_in_bytes=3811
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge11.vmdl_c crc=0AB1962A size=3.75KB size_in_bytes=3842
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge110.vmdl_c crc=B439175B size=9.94KB size_in_bytes=10179
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge12.vmdl_c crc=54FCB167 size=4.25KB size_in_bytes=4354
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge13.vmdl_c crc=CEEE310B size=3.72KB size_in_bytes=3810
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge14.vmdl_c crc=8114E79D size=3.89KB size_in_bytes=3986
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge15.vmdl_c crc=F207285F size=3.67KB size_in_bytes=3762
path=maps/ar_pool_day/worldnodes/node000_lr0_c0_s_cb_nomerge16.vmdl_c crc=C7E84AD8 size=9.89KB size_in_bytes=10130
