path=maps/de_eldorado.nav crc=4CF3796E size=236.55KB size_in_bytes=242231
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294452_octree.dat crc=123B70AF size=16.65KB size_in_bytes=17050
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294453_octree.dat crc=D12CAAC7 size=26.15KB size_in_bytes=26779
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294454_octree.dat crc=F4358327 size=24.18KB size_in_bytes=24762
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294455_octree.dat crc=7967A5D8 size=28.69KB size_in_bytes=29376
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294456_octree.dat crc=5BFAAB2D size=13.70KB size_in_bytes=14024
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294457_octree.dat crc=37EC21AF size=67.18KB size_in_bytes=68793
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294458_octree.dat crc=8F880DE9 size=52.89KB size_in_bytes=54163
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294459_octree.dat crc=380135BB size=56.34KB size_in_bytes=57695
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294460_octree.dat crc=28D502A1 size=61.41KB size_in_bytes=62885
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294461_octree.dat crc=0AB3FE87 size=48.88KB size_in_bytes=50056
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294462_octree.dat crc=47C16C3C size=51.63KB size_in_bytes=52869
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294463_octree.dat crc=67653B29 size=57.68KB size_in_bytes=59065
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294464_octree.dat crc=50D109A9 size=48.88KB size_in_bytes=50056
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294465_octree.dat crc=42C5624D size=64.93KB size_in_bytes=66489
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294466_octree.dat crc=D5C87771 size=618B size_in_bytes=618
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294467_octree.dat crc=D5526E57 size=14.61KB size_in_bytes=14961
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294468_octree.dat crc=48C38DE9 size=15.74KB size_in_bytes=16114
path=maps/de_eldorado/lightmaps/env_light_probe_volume_700294469_octree.dat crc=019FC5C4 size=23.48KB size_in_bytes=24041
path=maps/de_eldorado/lightmaps/env_light_probe_volume_atlas.vtex_c crc=87544435 size=2.40MB size_in_bytes=2511920
path=maps/de_eldorado/lightmaps/env_light_probe_volume_atlas_dlshd.vtex_c crc=D7A0B5DE size=163.60KB size_in_bytes=167525
path=maps/de_eldorado/lightmaps/irradiance.vtex_c crc=200E8CD1 size=70.19MB size_in_bytes=73602007
path=maps/de_eldorado/lightmaps/lightmap_query_data.kv3 crc=C7BC209D size=61.21MB size_in_bytes=64186375
path=maps/de_eldorado/world.vrman_c crc=9102DB46 size=917B size_in_bytes=917
path=maps/de_eldorado/world.vwrld_c crc=F0574FA0 size=2.03KB size_in_bytes=2083
path=maps/de_eldorado/worldnodes/n0.vrman_c crc=A1FCCD64 size=921B size_in_bytes=921
path=maps/de_eldorado/worldnodes/n0.vwnod_c crc=653B7570 size=64.07KB size_in_bytes=65608
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_archaelogy_tools_01_0.vmdl_c crc=AFF1C5C4 size=19.01KB size_in_bytes=19469
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_blend_sculpture_stelle_rock-topmoss-wet-b_0.vmdl_c crc=1A60A7E6 size=390.83KB size_in_bytes=400210
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_door_largewood_01_wet_0.vmdl_c crc=2BFA1E52 size=233.72KB size_in_bytes=239326
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_door_largewood_02_wet_0.vmdl_c crc=D7C99552 size=545.53KB size_in_bytes=558622
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_lighting_lantern_01_0.vmdl_c crc=F5A0F01D size=84.15KB size_in_bytes=86174
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_lighting_lantern_01_lit_0.vmdl_c crc=94497E0F size=230.67KB size_in_bytes=236210
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_sculpture_corner_face_01_wet_0.vmdl_c crc=7A278DDC size=198.72KB size_in_bytes=203493
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_sculpture_stelle_01_wet_0.vmdl_c crc=9D30EA00 size=1.89MB size_in_bytes=1979378
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_signs_01_wet_0.vmdl_c crc=080AD0DB size=9.30KB size_in_bytes=9526
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_signs_01_wet_1.vmdl_c crc=4EC4AD61 size=226.13KB size_in_bytes=231558
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_ancient_skybox_tree_cards_01_color_0.vmdl_c crc=3B3FB153 size=8.36KB size_in_bytes=8562
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_aztec_lighting_jobsite_01_0.vmdl_c crc=24B2604D size=11.34KB size_in_bytes=11610
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_aztec_wall_04_corners_moss_color_0.vmdl_c crc=B478F076 size=37.60KB size_in_bytes=38498
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_background_foliage_grass_01_0.vmdl_c crc=AB0CA319 size=11.09KB size_in_bytes=11358
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_bk01_trim_wood01a_0.vmdl_c crc=5017E593 size=115.42KB size_in_bytes=118194
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_black_0.vmdl_c crc=88E2F858 size=4.99KB size_in_bytes=5110
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_canal_poles_3_0.vmdl_c crc=9C7AD454 size=50.61KB size_in_bytes=51822
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_cargo_big_bag_01_tintable_0.vmdl_c crc=1EA50DB3 size=31.37KB size_in_bytes=32121
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_cliff_rock001_color_0.vmdl_c crc=E8EDBEFC size=43.69KB size_in_bytes=44742
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_cliff_rock002_color_0.vmdl_c crc=628DDF2B size=61.62KB size_in_bytes=63094
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_cliff_wall001_color_0.vmdl_c crc=48DDDE2A size=102.33KB size_in_bytes=104790
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_cliff_wall003_color_0.vmdl_c crc=B00D0899 size=3.03MB size_in_bytes=3178166
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_cloth01_0.vmdl_c crc=76C65F4E size=7.85KB size_in_bytes=8042
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_coop_inflatable_boat_color_0.vmdl_c crc=838F6370 size=60.29KB size_in_bytes=61737
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_dust_grain_basket_color_0.vmdl_c crc=5B3D8DC6 size=76.07KB size_in_bytes=77898
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_dust_kasbah_small_rocks_0.vmdl_c crc=2FF6E227 size=35.34KB size_in_bytes=36186
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_dust_kasbah_wood_planks_0.vmdl_c crc=84FD0A08 size=344.09KB size_in_bytes=352346
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_dust_kasbah_wood_platform_0.vmdl_c crc=315E6315 size=130.40KB size_in_bytes=133530
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_dust_rusty_barrel_0.vmdl_c crc=AFECC894 size=16.11KB size_in_bytes=16498
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_dust_shipping_crate_02_wood_color_0.vmdl_c crc=B579EF74 size=404.44KB size_in_bytes=414144
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_dust_shipping_crate_tarp_02_0.vmdl_c crc=CA5484EB size=64.20KB size_in_bytes=65740
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_ancient_blend_sculpture_corner_face_rock-plasterred-wet_0.vmdl_c crc=926D2625 size=289.71KB size_in_bytes=296667
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_aztec_pottery_01a_0.vmdl_c crc=72A8F603 size=82.99KB size_in_bytes=84980
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_aztec_pottery_01a_1.vmdl_c crc=6362750B size=431.11KB size_in_bytes=441460
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_barrel_kit_01_rough_tga_6ca5898f_0.vmdl_c crc=A0F97D06 size=24.44KB size_in_bytes=25028
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_barrel_wood_01a_0.vmdl_c crc=FD3C49BF size=357.16KB size_in_bytes=365732
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_blend_wall_plaster_01_0.vmdl_c crc=DE3521AD size=300.99KB size_in_bytes=308216
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_blend_wall_plaster_01_1.vmdl_c crc=93BB2348 size=17.52KB size_in_bytes=17944
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_blend_wall_stone_05_mural_01_0.vmdl_c crc=496722D9 size=5.58KB size_in_bytes=5712
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_blend_wall_stone_05_mural_02_0.vmdl_c crc=A55DEEC0 size=6.55KB size_in_bytes=6704
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_candle_stand_01a_0.vmdl_c crc=D25A6825 size=54.66KB size_in_bytes=55971
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_captains_supplies_01a_0.vmdl_c crc=4CED566D size=258.27KB size_in_bytes=264472
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_crate_wood_01a_0.vmdl_c crc=C2BB0C21 size=149.32KB size_in_bytes=152900
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_glassware_set_01_0.vmdl_c crc=9210A4C9 size=42.05KB size_in_bytes=43060
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_goldbag_01a_0.vmdl_c crc=25129F5D size=26.47KB size_in_bytes=27104
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_goldpile_01a_0.vmdl_c crc=A6CE73BC size=30.52KB size_in_bytes=31248
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_goldpile_01a_1.vmdl_c crc=5F35F3B3 size=20.72KB size_in_bytes=21216
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_blend_wall_01_individual_bricks_grey-moss-wet_0.vmdl_c crc=F5CFBEA2 size=3.53MB size_in_bytes=3705484
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_blend_wall_02_trims_grey-moss-wet-b_0.vmdl_c crc=413F4DD3 size=344.74KB size_in_bytes=353012
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_blend_wall_04_corners_grey-moss-wet-b_0.vmdl_c crc=2785E2C0 size=1.60MB size_in_bytes=1681332
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_stair_02_edge_base_0.vmdl_c crc=D2342734 size=724.02KB size_in_bytes=741392
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_wall_02_columns_moss_wet_0.vmdl_c crc=CC388E69 size=87.43KB size_in_bytes=89528
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_wall_04_surface_deco_moss_wet_0.vmdl_c crc=DE2DD20F size=1.53MB size_in_bytes=1608953
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_wall_04_trims_moss_wet_0.vmdl_c crc=FDEE4A7D size=3.00MB size_in_bytes=3147508
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_hr_ancient_wall_05_trims_grey_wet_0.vmdl_c crc=DCD0910C size=186.27KB size_in_bytes=190740
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_liquor_bottles_01_0.vmdl_c crc=F478C1CD size=42.80KB size_in_bytes=43828
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_onecoin_01a_0.vmdl_c crc=1D1AA1CF size=7.59MB size_in_bytes=7954416
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_statue_feet_bottom_01a_0.vmdl_c crc=D4B123B0 size=105.56KB size_in_bytes=108092
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_statue_feet_bottom_01b_0.vmdl_c crc=26DFD04A size=105.31KB size_in_bytes=107836
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_statue_feet_legs_01a_0.vmdl_c crc=7933C6AC size=54.98KB size_in_bytes=56296
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_statue_feet_legs_01b_0.vmdl_c crc=78A4170E size=32.52KB size_in_bytes=33304
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_statue_torso_01a_0.vmdl_c crc=114EBE19 size=76.97KB size_in_bytes=78820
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_statue_torso_01b_0.vmdl_c crc=47844B4C size=175.96KB size_in_bytes=180180
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_statue_torso_01c_0.vmdl_c crc=5F65BE05 size=122.46KB size_in_bytes=125396
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_swords_01a_0.vmdl_c crc=55A743BD size=386.36KB size_in_bytes=395632
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_eldorado_treasure_chest_01a_0.vmdl_c crc=A0A2D101 size=435.34KB size_in_bytes=445784
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_flower_lily_01_0.vmdl_c crc=20EDFE99 size=1.59MB size_in_bytes=1663022
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_foliage_weed_001_wind_0.vmdl_c crc=0DB6B890 size=278.29KB size_in_bytes=284966
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_foliage_weed_003_0.vmdl_c crc=2F5AF019 size=319.61KB size_in_bytes=327282
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_gate_metal_02_b_0.vmdl_c crc=EB289E63 size=63.10KB size_in_bytes=64610
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hand_trolley_0.vmdl_c crc=53823E8D size=43.29KB size_in_bytes=44334
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_leaves_01_0.vmdl_c crc=F89D5F10 size=2.74MB size_in_bytes=2874190
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_trunk_01_0.vmdl_c crc=D7BF0AC3 size=4.66MB size_in_bytes=4881930
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_02-moss-topmoss-wet-b_0.vmdl_c crc=EA1ADB28 size=916.75KB size_in_bytes=938757
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-grounddirt01-moss-02-wet_0.vmdl_c crc=014BDFBA size=78.99KB size_in_bytes=80888
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver02-grounddirt04-wet_0.vmdl_c crc=7803174E size=18.95KB size_in_bytes=19408
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver02-grounddirt04-wet_1.vmdl_c crc=CD77DB29 size=38.86KB size_in_bytes=39792
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_stair01-moss-wet-b_0.vmdl_c crc=02CC8A13 size=214.22KB size_in_bytes=219366
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_stair02edgegrey-moss-wet-b_0.vmdl_c crc=84B966B1 size=716.28KB size_in_bytes=733470
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_02_trims_grey-moss-wet-b_0.vmdl_c crc=F3B17063 size=11.62KB size_in_bytes=11902
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_04_corners_grey-moss-wet-b_0.vmdl_c crc=820E60AD size=217.67KB size_in_bytes=222898
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_05_includes_grey-plasterblue-wet_0.vmdl_c crc=FC546D06 size=603.89KB size_in_bytes=618387
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_05_includes_grey-plasterred-wet_0.vmdl_c crc=C40E1210 size=1.68MB size_in_bytes=1763955
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_05_trims_grey-plasterblue-wet_0.vmdl_c crc=2A6D9593 size=578.13KB size_in_bytes=592006
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_05_trims_grey-plasterred-wet_0.vmdl_c crc=5500C405 size=2.80MB size_in_bytes=2932514
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_05_trims_grey-plasterwhite-wet_0.vmdl_c crc=A51FDD37 size=1.11MB size_in_bytes=1168918
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_stone_01_white-moss-wet_0.vmdl_c crc=37FEE231 size=10.11KB size_in_bytes=10350
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_stone_05_grey-plasterwhite_wet_0.vmdl_c crc=DB0090D7 size=8.30KB size_in_bytes=8502
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_wall_stone_05_grey-plasterwhite_wet_1.vmdl_c crc=62679FD7 size=20.55KB size_in_bytes=21046
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_decotrim_set_01_wet_0.vmdl_c crc=457F82DA size=343.67KB size_in_bytes=351918
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_decotrim_set_02_wet_0.vmdl_c crc=6AC38054 size=396.54KB size_in_bytes=406062
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_decotrim_set_03_wet_0.vmdl_c crc=93545ECD size=30.67KB size_in_bytes=31406
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_roots_01_wet_0.vmdl_c crc=A847F778 size=138.88KB size_in_bytes=142218
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_stair_01_wet_0.vmdl_c crc=805A4420 size=129.56KB size_in_bytes=132666
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_stair_02_edge_grey_wet_0.vmdl_c crc=4B2EA1D2 size=165.24KB size_in_bytes=169202
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_stair_02_edge_moss_wet_0.vmdl_c crc=58BDAB03 size=549.33KB size_in_bytes=562514
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_stair_02_grey_wet_0.vmdl_c crc=4A143274 size=80.36KB size_in_bytes=82286
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_stair_02_moss_wet_0.vmdl_c crc=A0006E7D size=408.86KB size_in_bytes=418670
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_tropical_foliage_02_0.vmdl_c crc=1F840B02 size=2.06MB size_in_bytes=2161006
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_01_individual_bricks_moss_wet_0.vmdl_c crc=20196125 size=27.87MB size_in_bytes=29226190
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_01_individual_bricks_white_wet_0.vmdl_c crc=4C51CE3B size=2.55MB size_in_bytes=2672142
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_01_rubble_moss_wet_0.vmdl_c crc=F04C843B size=63.22KB size_in_bytes=64738
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_02_columns_grey_wet_0.vmdl_c crc=E02611A1 size=25.57KB size_in_bytes=26182
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_02_columns_moss_wet_0.vmdl_c crc=0B4616E4 size=10.87KB size_in_bytes=11126
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_02_trims_grey_wet_0.vmdl_c crc=291D5CCC size=11.00KB size_in_bytes=11266
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_02_trims_moss_wet_0.vmdl_c crc=5D9CE13F size=166.52KB size_in_bytes=170514
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_04_corners_grey_wet_0.vmdl_c crc=C1631368 size=332.02KB size_in_bytes=339990
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_04_corners_white_wet_0.vmdl_c crc=475E7787 size=43.47KB size_in_bytes=44518
path=maps/de_eldorado/worldnodes/n0_lr0_agg_merge_hr_ancient_wall_04_individual_bricks_grey_wet_0.vmdl_c crc=A7EDF29A size=124.98KB size_in_bytes=127982
